idCliente ;Nombre;Apellido;Correo
;Florencia ;Guardia;nisi.cum.sociis@protonmail.edu
;Noa ;Guitart ;ut.lacus@google.net
;Febe;Badía ;velit.justo.nec@outlook.couk
;Alejo ;Matas;mauris.ut@yahoo.couk
;Alma ;Madrid ;auctor@protonmail.org
;Bonifacio ;Lastra;suspendisse.commodo@google.com
;Noelia ;Jódar;non.lacinia.at@yahoo.net
;Daniela;Camino;suspendisse.sed@hotmail.net
;Modesto ;Águila;id@google.couk
;Cipriano ;Saldaña;magna.sed@outlook.ca
;Paulina ;Benavides;odio.semper@google.ca
;Pepe ;Galván ;neque.non@google.com
;Antonio  ;Ayuso;urna.justo.faucibus@outlook.couk
;Eutropio ;Matas;vivamus.nibh.dolor@protonmail.org
;Luis ;Benito;facilisi.sed.neque@yahoo.com
;Dafne;Herrera;id@aol.ca
;Leandra ;Sancho ;vestibulum@yahoo.com
;Ainara ;Zorrilla;risus.donec@icloud.edu
;Gervasio ;Revilla;mattis.cras.eget@icloud.edu
;Pablo;Villegas;phasellus.at@aol.ca
;Adolfo ;Redondo;vel@google.edu
;Édgar;Sala;suspendisse.non.leo@protonmail.ca
;Valentina;Jaume;senectus@outlook.com
;Antonio ;Carrasco;scelerisque.neque@hotmail.ca
;Tomas;Ros;diam.luctus@yahoo.couk
;Elvira;Sala;lorem.ut@outlook.com
;Martina ;Álamo;tellus.nunc@protonmail.com
;Macarena  ;Serrano;at@outlook.org
;Eva ;Olivera;integer.tincidunt@google.net
;Laura;Gallego;in@protonmail.couk
;Juan;Casanova;augue.sed.molestie@aol.couk
;Palmira ;Ponce;felis.nulla@icloud.com
;Juana;Solís;donec.est.mauris@aol.couk
;Lucas ;Calderón;in.consectetuer@icloud.edu
;Pedro;Leon;a.odio@protonmail.couk
;Vanesa ;Suárez;sollicitudin@aol.ca
;Luis ;Solís;et.pede@hotmail.com
;Candela;Peña;donec.vitae@aol.edu
;Eusebio ;Barón;donec.egestas@aol.net
;Ángel ;Figueroa;sed.congue@outlook.couk
;Alondra ;Ferrán;ac.libero@yahoo.couk
;Teodoro;Fuente;massa@aol.ca
;Isaac ;Alcázar;magnis.dis.parturient@outlook.net
;Victorino ;Montes;consequat.auctor@outlook.couk
;Isidora ;Moles ;vestibulum@google.edu
;Marcos;Ferrán;a.tortor@yahoo.com
;Alejandro;Herrera;ac.ipsum@protonmail.com
;Humberto ;Peiró;cursus.nunc.mauris@google.net
;Nico ;Buendía;neque.nullam@google.com
;Salomón ;Palmer;phasellus.nulla@google.couk
;Paco; Bolaños;in@yahoo.net
;Adelina ;Olivares;purus.sapien@google.edu
;Yago;Alcázar;non.leo@yahoo.net
;Luis ;Lopez;dolor@protonmail.couk
;Sol;Badía ;non.lobortis@aol.org
;Jose;Campo;ipsum.dolor@icloud.couk
;Victoria ;Villena;tellus.non@hotmail.ca
;Consuelo ;Ayala;euismod.urna@google.net
;Oliva ;Campillo;amet.ornare.lectus@google.couk
;Clarisa ;Fábregas;natoque.penatibus@google.edu
;Eugenio;Bermudez;phasellus.dapibus@google.couk
;Azucena ;Barranco;nec.quam.curabitur@icloud.ca
;Anna  ;Canet;mauris@hotmail.net
;Luz;Alegre;et.magna.praesent@aol.com
;Pedro;Fábregas;mollis@yahoo.org
;Paula;Campo;parturient@yahoo.edu
;Julia ;Barco;eu.odio@aol.com
;Joaquin;Salamanca;justo.sit@protonmail.edu
;Jenny ;Diaz;quis.pede@aol.org
;Desiderio ;Segura;cursus.integer@aol.edu
;Maxi ;Escudero;nisi.dictum@google.com
;Emilia;Aguiló;lobortis@google.edu
;Carlos;Hernando;nibh.enim.gravida@google.org
;Emilia;Barrios;nunc.ut@outlook.com
;Donato ;Sanmiguel;sed.dui@icloud.net
;Héctor;Escudero;nonummy.ut@google.edu
;Román;Solís;ac.mi.eleifend@outlook.couk
;Raúl;Coronado;sit.amet@protonmail.org
;Isidro;Gallardo;orci.lacus@google.com
;Daniela;Martín;ornare.in@hotmail.com
;Chus;Piñol;et@icloud.ca
;César;Ortuño;cursus@yahoo.net
;Celeste;Parejo;ac@google.ca
;Alma ;Melero;urna@outlook.org
;Amaya;Huertas;pharetra.sed@google.edu
;Maribel ;Polo;lobortis@icloud.org
;Cleto;Tomé;urna.suscipit@outlook.com
;Carlos;Keillor;ultrices.sit.amet@yahoo.couk
;Natalia;Ibañez;imperdiet.non@outlook.ca
;Leo;Casanova;neque@icloud.com
;Bonifacio ;Badía ;odio.aliquam@protonmail.net
;Emigdio ;Gomez;elit.fermentum@hotmail.org
;Hugo;Prado;ipsum.non@protonmail.net
;Sebastián;Matas;conubia.nostra@outlook.edu
;Fito;Carrillo;diam.sed@aol.couk
;Rosa;Montes;pellentesque.ut@google.com
;Diana;Sola;ornare.elit@hotmail.ca
;Alcides;Villaverde;sed.diam.lorem@outlook.com
;Paz;Carrillo;iaculis.enim@hotmail.org
;Maxi ;Tovar;odio.sagittis.semper@icloud.ca
